pid,labels
10760,"18,17,10"
7779,"76,152,31"
27876,"169,199,170"
24606,"121,120,451"
24097,"26,89,40"
25903,"180,30,518"
7262,"44,43,23"
18516,"135,76,40"
16140,"39,23,38"
19856,"10,44,23"
13052,"23,10,43"
2309,"30,3,15"
27306,"85,3,26"
24565,"169,170,339"
9204,"3,85,87"
17584,"23,31,38"
23475,"258,31,31"
3474,"19,4,3"
24294,"54,23,10"
3967,"8,206,9"
8588,"8,270,11"
10691,"40,76,201"
13366,"258,31,96"
28697,"135,75,317"
8948,"3,21,56"
17417,"8,235,206"
24995,"3,111,200"
27077,"131,201,76"
14230,"251,38,283"
18151,"23,10,54"
11321,"76,130,140"
3842,"21,33,51"
14937,"20,28,13"
11612,"0,213,279"
12760,"0,1,3"
16448,"26,38,23"
1620,"4,28,3"
2102,"21,34,30"
6570,"23,10,45"
4925,"21,28,3"
24152,"26,23,38"
4443,"220,10,23"
19705,"8,9,206"
6438,"8,270,271"
11543,"10,11,12"
29405,"30,3,21"
13520,"76,141,1"
4319,"59,10,11"
3126,"17,18,51"
998,"23,49,38"
676,"21,28,200"
21401,"85,121,23"
10251,"248,139,155"
2209,"213,380,255"
26127,"30,85,200"
3043,"15,200,1"
4063,"24,43,49"
8801,"40,128,76"
22777,"200,21,33"
17749,"0,211,254"
25119,0
23457,"220,10,44"
12390,"3,21,56"
28656,"34,18,56"
22798,"74,38,23"
24372,"36,19,21"
22911,"169,192,135"
28366,"281,169,38"
11036,"10,23,43"
144,"3,30,187"
20391,"220,10,40"
27375,"169,296,275"
5207,"7,4,3"
11627,"40,76,149"
25184,"171,276,276"
23425,"229,229,229"
12748,"23,10,43"
6264,"220,23,40"
10550,"3,30,111"
4312,"10,23,44"
5388,"76,40,131"
6827,"102,40,0"
18668,"10,44,64"
16539,"7,4,3"
21525,"130,76,288"
18198,"3,15,21"
28670,"201,76,286"
536,"74,75,38"
20404,"130,76,405"
5756,"3,21,200"
10152,"23,43,74"
13940,"169,171,56"
27353,"128,42,286"
5564,"74,251,400"
4620,"10,11,44"
12540,"1,277,40"
21244,"19,4,70"
78,"21,85,200"
16447,"30,518,3"
27154,"258,31,23"
28615,"70,38,74"
11224,"18,34,193"
15165,"38,23,49"
7587,"38,23,74"
29480,"34,200,51"
20827,"249,279,0"
18894,"10,44,38"
6129,"15,16,3"
9877,"0,213,304"
13805,"3,21,14"
7231,"11,10,40"
19964,"318,40,23"
3647,"10,43,24"
23870,"15,3,200"
20556,"200,111,156"
18062,"76,1,180"
6285,"74,23,39"
28427,"74,39,96"
8835,"10,11,24"
20789,"3,85,87"
1853,"149,169,201"
12073,"21,28,13"
13029,"131,76,40"
20378,"0,271,213"
9568,"14,13,28"
13237,"18,17,21"
1171,"180,313,200"
28936,"76,128,131"
9316,"169,40,248"
28277,"23,38,10"
7641,"169,171,299"
24587,"1,277,505"
24259,"74,96,38"
14995,"433,19,4"
29423,"149,169,201"
10234,"76,131,149"
15355,"74,38,23"
19974,"25,23,10"
17410,"64,23,10"
3332,"169,74,38"
19471,"38,23,28"
24726,"130,128,131"
13781,"26,38,40"
10587,"64,23,10"
13616,"10,23,45"
27395,"8,206,235"
8898,"10,44,23"
26221,"27,28,28"
21614,"47,38,39"
20314,"15,16,200"
15690,"169,311,296"
27815,"28,113,27"
9770,"169,39,40"
24021,"23,89,38"
17771,"3,200,33"
6063,"0,211,276"
9974,"311,428,411"
14665,"3,21,20"
934,"411,411,1"
10903,"10,43,44"
4327,"121,262,13"
12192,"10,44,11"
13063,"39,23,40"
14181,"10,11,28"
17094,"31,259,258"
8303,"23,169,181"
12629,"200,21,51"
28079,"218,213,252"
9536,"213,0,304"
22788,"287,100,401"
18244,"10,44,23"
6486,"23,38,76"
20609,"38,89,23"
29454,"10,54,23"
26267,"185,131,201"
8928,"44,43,23"
17331,"121,120,451"
23422,"141,195,251"
1264,"135,38,76"
7562,"3,200,15"
17271,"5,6,28"
16757,"0,211,8"
13359,"47,23,39"
29151,"74,38,23"
21879,"220,10,23"
8382,"31,32,74"
15410,"12,23,10"
20435,"21,13,3"
3786,"141,318,51"
1381,"139,248,160"
8536,"44,10,23"
24335,"43,23,23"
5885,"23,10,40"
25193,"0,271,254"
19822,"286,128,201"
22543,"4,3,28"
10225,"10,79,54"
23973,"23,38,43"
8285,"23,26,19"
2531,"0,22,179"
27330,"300,287,306"
6632,"220,10,23"
26136,"169,199,171"
23924,"15,3,53"
8095,"420,258,31"
1395,"169,313,151"
16146,"18,17,68"
19697,"0,211,279"
5997,"10,44,23"
17341,"169,288,277"
28967,"10,44,24"
7553,"74,38,23"
2880,"18,17,51"
20647,"23,49,43"
4710,"169,199,170"
16922,"169,170,31"
1234,"10,44,23"
26561,"38,10,44"
1355,"43,23,38"
7290,"38,23,39"
21914,"10,45,23"
20503,"40,76,128"
13814,"7,4,19"
24546,"10,23,44"
2056,"8,206,270"
24278,"271,272,8"
2240,"4,5,28"
15345,"5,20,28"
15042,"76,26,38"
10002,"21,30,28"
16732,"131,226,76"
28096,"10,240,220"
5539,"17,18,3"
26922,"98,38,90"
21735,"258,420,31"
27043,"23,54,420"
25680,"141,23,76"
23286,"43,23,44"
27068,"10,54,23"
9786,"4,19,70"
22230,"40,160,45"
27050,"23,38,44"
27604,"171,38,181"
7086,"118,23,38"
20177,"18,17,21"
13726,"169,40,39"
10674,"59,10,11"
12589,"193,76,40"
15111,"20,13,30"
23093,"169,23,38"
24824,"3,57,200"
23526,"10,11,12"
4287,"135,31,76"
19905,"0,271,271"
17088,"271,265,281"
10982,"131,76,226"
14990,"3,21,56"
24161,"160,152,76"
20373,"235,8,270"
19162,"219,0,271"
10498,"28,10,3"
21775,"0,253,279"
14292,"23,40,39"
28227,"160,127,76"
4246,"315,138,75"
19113,"28,30,510"
3026,"253,233,3"
8399,"21,30,22"
16130,"27,179,26"
16954,"26,89,23"
5646,"23,45,38"
13019,"76,152,40"
28285,"265,271,271"
11669,"169,311,437"
4194,"28,51,3"
20356,"223,1,27"
29246,"18,16,51"
12871,"18,17,16"
18333,"220,10,23"
3037,"3,30,85"
6502,"23,44,38"
6700,"11,12,10"
26076,"137,67,38"
19594,"111,113,123"
28765,"135,138,31"
23960,"28,4,200"
19292,"10,23,44"
13216,"152,76,40"
1712,"139,152,201"
28575,"160,152,201"
26044,"15,21,30"
27026,"43,23,10"
3236,"135,201,315"
13259,"518,40,135"
14677,"76,139,130"
16155,"21,30,76"
11545,"128,131,76"
4000,"10,64,43"
23138,"3,200,51"
10510,"6,5,28"
21516,"7,4,19"
21379,"169,171,170"
20180,"220,10,23"
28145,"49,23,10"
1256,"10,23,44"
5300,"10,79,44"
22151,"169,1,274"
21287,"40,162,1"
13303,"23,94,74"
27021,"28,5,6"
13305,"160,204,201"
10131,"20,3,18"
25037,"8,206,0"
6379,"38,23,40"
19085,"15,200,3"
3848,"10,44,23"
779,"10,23,24"
24716,"10,23,54"
14595,"23,43,10"
18582,"0,304,211"
26121,"38,46,47"
5256,"26,89,23"
6460,"139,40,1"
18220,"89,27,0"
901,"76,283,54"
12512,"54,23,10"
22191,"214,42,280"
10196,"44,12,23"
8767,"90,44,10"
15909,"308,8,270"
813,"10,24,44"
16898,"3,21,30"
8636,"229,230,28"
26415,"21,33,3"
11700,"200,3,379"
10350,"21,20,51"
22242,"12,10,23"
16198,"10,23,38"
29319,"135,38,74"
3948,"10,64,23"
25676,"24,49,38"
18288,"169,506,50"
1650,"340,266,77"
8089,"7,4,19"
23640,"23,47,251"
27491,"160,76,132"
1568,"40,76,201"
3424,"8,235,270"
3100,"271,252,0"
1053,"220,10,0"
27387,"49,23,38"
25889,"290,10,23"
28035,"23,44,10"
17998,"8,9,26"
5869,"0,213,214"
8227,"5,6,28"
8933,"26,1,40"
26472,"34,37,20"
28689,"76,131,40"
20428,"8,9,236"
26654,"169,0,1"
12837,"218,264,21"
1994,"169,303,240"
2498,"26,23,44"
3422,"10,23,24"
16234,"48,519,8"
14586,"112,21,74"
28872,"76,395,130"
19599,"10,11,12"
5411,"3,30,15"
8597,"21,34,117"
5021,"135,138,31"
15547,"40,76,12"
7077,"10,11,24"
10384,"220,10,11"
29131,"32,31,60"
14434,"31,258,420"
1138,"265,290,297"
20515,"54,23,10"
20719,"38,74,76"
14345,0
3754,0
5732,"74,38,75"
13459,"220,10,11"
21760,"3,51,34"
17830,"10,23,54"
21187,"201,33,149"
26312,"226,131,76"
19332,"23,54,31"
2113,"11,10,24"
2055,"139,151,76"
12307,"139,76,151"
4894,"8,9,235"
2220,"231,26,89"
1167,"169,9,40"
26290,"18,56,17"
23625,"26,40,23"
18932,"43,23,40"
22382,"15,200,111"
24370,"43,24,23"
13658,"15,16,3"
7183,"5,6,28"
19336,"286,40,76"
19041,"26,89,350"
16558,"139,40,249"
1684,"26,38,23"
4199,"37,150,15"
28608,"169,200,40"
3107,"231,26,39"
27152,"254,271,279"
4686,"256,220,98"
1380,"40,76,171"
5825,"15,200,52"
26628,"76,201,42"
1214,"4,8,19"
11624,"10,220,44"
16029,"169,437,459"
8073,"258,257,258"
21898,"15,3,0"
11042,"0,219,5"
28641,"169,323,181"
8093,"89,38,151"
8866,"226,131,76"
889,"23,64,299"
18756,"31,36,40"
2779,"218,31,31"
9610,"31,32,0"
9155,"13,14,28"
23299,"10,43,44"
19512,"10,59,44"
333,"169,23,40"
8874,"10,44,49"
23141,"10,11,23"
22386,"3,15,200"
19935,"121,121,121"
29149,"40,31,76"
14372,"11,10,20"
24453,"76,31,40"
5986,"26,23,89"
25116,"10,43,23"
1300,"296,169,274"
16974,"226,131,76"
12051,"43,44,10"
19694,"1,277,0"
8749,"10,23,54"
2047,"21,200,15"
21987,"139,150,1"
1872,"130,76,40"
19138,"271,252,129"
26176,"76,149,40"
14678,"3,200,30"
25278,"10,220,23"
4543,"518,428,433"
5575,"38,47,23"
7197,"131,76,135"
20114,"10,43,44"
28613,"139,248,276"
25343,"169,199,40"
4809,"10,23,54"
5723,"43,23,40"
25658,"271,265,266"
13709,"10,64,23"
7626,"3,112,21"
14647,"3,5,28"
22405,"26,38,89"
12636,"31,258,420"
715,"220,10,23"
15451,"11,10,20"
28768,"206,8,280"
8250,"74,23,38"
18821,"231,89,38"
23182,"131,226,76"
12863,"15,16,200"
29115,"169,31"
4893,"15,66,111"
17869,"220,23,10"
19676,"30,10,40"
4808,"10,44,23"
2122,"8,0,9"
1172,"3,21,34"
12705,"23,40,44"
15955,"169,199,40"
3543,"30,200,111"
8708,"3,4,200"
21060,"38,118,74"
17504,"63,49,24"
27879,"31,32,518"
7527,"40,126,201"
23208,"47,35,38"
26110,"169,271,318"
14108,"23,38,44"
14233,"10,24,64"
8687,"6,5,28"
22409,"23,31,40"
19318,"169,181,323"
8829,"171,169,295"
1918,0
24776,"23,38,74"
16475,"0,219,211"
11319,"3,111,21"
22344,"85,30,3"
20077,"31,32,0"
22227,"201,33,76"
9703,"0,271,265"
15148,"10,11,23"
2560,"8,206,0"
3792,"408,131,395"
16228,"226,131,395"
11911,"35,76,24"
10612,"10,11,44"
4150,"169,169,0"
19542,"231,89,26"
12769,"10,11,24"
9211,"21,3,127"
3413,"38,40,23"
6976,"169,40,28"
26351,"169,277,40"
7508,"220,10,44"
3854,"130,76,288"
8267,"44,10,23"
2650,"169,460,311"
8802,"167,156,225"
15612,"26,89,38"
25949,"21,22,3"
22728,"23,10,64"
3099,"8,9,206"
2889,"21,200,3"
17364,"0,271,254"
17822,"43,24,67"
17500,"76,402,196"
27615,"39,26,40"
764,"49,23,40"
25229,"89,271,27"
11521,"31,135,31"
29289,"220,10,11"
26997,"271,280,252"
22209,"160,201,76"
24133,"201,111,160"
24837,0
13171,0
12668,"31,54,40"
24178,"15,20,19"
22373,"10,44,23"
28403,"279,0,218"
4973,"100,201,197"
26228,"76,149,40"
826,"7,4,19"
20867,"38,76,23"
15969,"10,11,12"
11859,"0,26,27"
21319,"511,465,280"
26834,"31,31,31"
20983,"8,206,27"
7858,"10,44,24"
7054,"169,149,201"
27646,"10,23,24"
19382,"26,89,350"
21176,"21,17,66"
24443,"38,74,23"
1515,"10,44,23"
15622,"226,131,131"
6444,"75,135,223"
17618,"74,31,38"
27567,"75,38,23"
22114,"30,52,200"
1385,"201,76,21"
17374,"10,44,64"
12426,"10,64,44"
6831,"21,30,3"
7781,"169,44,31"
10613,"258,31,504"
26174,"131,226,135"
13429,"0,213,304"
24365,"0,213,218"
16596,"169,170,5"
7674,"141,395,76"
3157,"162,468,76"
12703,"38,23,49"
8661,"76,40,1"
7374,"6,5,28"
16410,"8,231,23"
25043,"411,296,451"
2304,"64,23,10"
18341,"169,171,312"
8376,0
10749,0
1414,"4,70,19"
14936,"23,26,51"
15564,"169,51,181"
9681,"169,289,296"
15299,"26,38,89"
14213,"43,23,38"
5831,"44,10,23"
16610,"26,89,40"
10934,"23,43,169"
12720,"74,38,518"
25209,"64,43,10"
26159,"64,43,10"
1012,"0,519,405"
20683,"10,11,44"
24788,"74,94,38"
15567,"3,15,28"
3989,"169,180,23"
9432,"17,21,18"
9231,"10,220,23"
23520,"169,323,43"
12754,"3,4,200"
1999,"279,223,169"
28878,"42,76,201"
22596,"31,135,76"
18195,"23,38,49"
17302,"48,39,23"
8393,"3,21,43"
6080,"3,21,66"
18161,"229,240,125"
11972,"131,288,276"
2403,"23,54,10"
11788,"31,96,45"
1033,"26,289,40"
21306,"23,39,40"
21214,"38,84,76"
21029,"32,31,40"
3987,"378,38,26"
29141,"30,21,28"
21090,"200,15,21"
26674,"34,18,10"
28123,"23,54,10"
24863,"28,21,30"
12084,"38,74,40"
25468,"169,281,76"
2940,"76,129,160"
10409,"500,233,220"
13059,"34,3,200"
29264,"21,3,30"
4663,"226,145,131"
2597,"43,23,10"
2506,"10,44,23"
5441,"94,38,23"
8929,"220,10,28"
9735,"169,296,0"
13347,"3,200,68"
22622,"235,8,0"
16402,"169,40,276"
4108,"10,44,23"
18135,"38,23,74"
6049,"30,21,20"
27854,"39,76,40"
14494,"131,226,76"
16597,"220,10,23"
619,"220,10,23"
27878,"265,271,180"
7166,"19,4,70"
9479,"38,395,405"
7520,"265,269,371"
20389,"200,21,3"
2366,"220,10,24"
20717,"220,10,44"
28733,"23,43,38"
9579,"18,56,17"
28798,"1,40,279"
11658,"395,281,303"
15642,"10,43,24"
12477,"128,40,76"
4696,"4,28,19"
13496,"76,23,131"
23736,"15,16,50"
1425,"128,130,76"
13655,"128,130,76"
23705,"23,49,5"
28857,"34,18,5"
2482,"139,76,128"
11145,"89,26,38"
5225,"10,44,23"
15508,"23,39,43"
27619,"169,199,140"
15297,"26,64,90"
21057,"111,224,36"
8423,"75,94,38"
26082,"169,42,40"
12483,"13,10,28"
10631,"169,39,170"
9905,"10,11,44"
25329,"220,10,54"
9526,"34,200,21"
1698,"213,214,0"
7806,"23,31,38"
17894,"271,270,8"
9758,"89,38,281"
6273,"18,17,51"
14101,"26,1,23"
2911,"54,43,10"
1221,"4,3,19"
13250,"23,49,38"
7765,"11,10,43"
14930,"131,40,76"
23501,"49,23,38"
2413,"0,288,1"
14342,"40,76,31"
162,"23,10,43"
11743,"75,38,76"
12411,"26,5,4"
28672,"13,14,10"
12388,"24,23,40"
14764,"169,276,274"
29434,"100,23,10"
4303,"11,12,10"
17118,"23,54,34"
14964,"220,10,11"
15631,"66,201,100"
23401,"8,235,0"
16638,0
23551,"64,43,10"
12923,"169,0,276"
6888,"26,89,23"
16774,"288,280,223"
18357,"169,315,280"
29241,"220,10,54"
25544,"149,130,128"
27342,"169,274,277"
23046,"10,44,23"
8460,"3,21,31"
4824,"28,4,13"
20101,"26,179,0"
10019,"271,179,0"
24078,"169,296,320"
6835,"235,400,211"
6762,"10,44,23"
28830,"131,76,241"
18377,"131,135,201"
19601,"24,79,143"
16299,"0,211,215"
10658,"21,19,17"
25288,"18,51,20"
23373,"38,26,23"
24760,"23,40,10"
6669,"21,46,40"
12160,"1,173,291"
24629,"74,18,38"
20288,"287,200,51"
22335,"33,42,201"
4669,"43,23,10"
29399,"265,271,280"
27195,"271,271,271"
9949,"10,44,54"
16060,"43,67,23"
19834,"265,270,271"
1987,"30,200,21"
10151,"76,130,128"
17605,"26,89,40"
8921,"169,135,39"
22389,"34,200,15"
15657,"10,11,44"
12447,"25,23,10"
6508,"27,40,26"
10924,0
5982,"235,8,0"
1145,"169,276,51"
27990,"10,44,23"
4242,"2,1,277"
26128,"3,66,200"
17723,"49,23,40"
11630,"0,179,265"
25333,"23,44,10"
21434,"38,26,91"
163,"169,274,40"
12208,"10,44,23"
21535,"38,26,249"
20613,"31,258,4"
14401,"13,20,204"
1360,"3,200,15"
5872,"169,200,201"
9834,"169,201,76"
4904,"66,15,10"
13363,"169,171,299"
10445,"10,23,44"
27302,"10,23,44"
23275,"15,16,200"
12223,"169,169,40"
9358,"10,44,23"
23449,"13,30,31"
3839,"213,240,0"
7483,"6,76,111"
20786,"21,3,200"
9471,"169,199,31"
24014,"60,402,46"
14624,"10,44,23"
28214,"4,19,174"
15638,"8,9,236"
6272,"8,206,0"
17646,"10,54,23"
9419,"411,499,413"
16636,"139,160,76"
26225,"89,26,0"
11082,"76,193,40"
20563,"38,26,23"
3642,"10,43,23"
5700,"23,10,43"
28344,"23,38,74"
21819,"220,10,11"
23107,"28,21,111"
2764,"40,76,31"
8331,"15,200,16"
13875,"10,23,44"
2385,"31,32,96"
18779,"169,23,181"
1896,"23,49,67"
15475,"18,21,52"
10720,"26,23,38"
1278,"152,201,160"
9380,"74,318,18"
21710,"12,10,40"
15539,"318,105,100"
5034,"235,270,368"
18654,"10,43,23"
23064,"135,31,1"
12133,"71,23,24"
9450,"135,31,283"
11689,"0,279,212"
8891,"211,219,0"
26003,"10,23,40"
10063,"70,19,4"
20798,"23,89,38"
15858,"283,135,51"
27674,"38,26,91"
9675,"40,76,201"
3158,"12,23,109"
15207,"169,199,9"
10191,"271,214,254"
18755,"265,271,0"
3256,"10,43,24"
28356,"78,114,23"
11951,"206,8,19"
13606,"220,10,23"
9096,"74,23,40"
23790,"28,4,5"
15123,"0,216,288"
19637,"30,21,127"
29043,"4,7,19"
16069,"130,131,76"
20963,"184,185,76"
13508,"169,44,40"
11606,"10,44,23"
10353,"21,190,51"
2007,"21,190,51"
23094,"169,39,271"
7254,"256,1,213"
19852,"169,171,43"
7904,"0,271,211"
19788,"10,44,64"
29040,"10,79,44"
4154,"3,21,200"
24142,"38,23,74"
15795,"4,42,11"
24429,"10,23,40"
7575,"23,44,40"
28785,"3,4,28"
3933,"10,44,23"
26989,"23,10,41"
16286,"12,10,24"
21740,"21,3,200"
4421,"201,76,40"
10468,"169,195,40"
2755,"265,270,273"
8054,"100,208,233"
2862,"10,44,64"
5841,"23,67,135"
23683,"0,1,219"
6859,"15,3,16"
21304,"10,54,23"
15834,"139,248,40"
15846,"23,31,54"
8923,"89,38,23"
5319,"4,19,433"
29105,"4,19,433"
8344,"15,16,50"
16150,"17,18,50"
17440,"26,38,23"
10141,"169,23,181"
23100,"76,131,40"
6301,"8,235,270"
23597,"74,23,119"
16882,"10,11,59"
19878,"89,271,26"
27379,"76,130,131"
27076,"40,76,128"
1617,"76,40,128"
20483,"149,76,1"
13253,"32,31,1"
19645,"34,200,187"
29364,"265,271,271"
926,"160,201,149"
12887,"23,38,49"
13628,"4,7,28"
17655,"23,43,24"
13215,"169,310,201"
10285,"4,70,222"
14975,"3,4,5"
15978,"76,131,131"
26722,"265,273,364"
23794,"160,201,280"
26002,"265,383,208"
2692,"213,71,0"
1148,"457,456,269"
2046,"222,100,28"
21608,"261,319,318"
20591,"131,76,219"
9149,"10,43,24"
2273,"5,28,6"
11216,"21,51,51"
13532,"26,38,23"
12062,"3,18,21"
18577,"226,131,76"
5246,"44,10,23"
3767,"42,40,9"
7131,"23,54,10"
17631,"3,30,4"
10421,"152,202,200"
8343,"38,23,74"
7864,"131,226,76"
22413,"82,39,91"
28434,"18,17,51"
5118,"21,40,1"
12967,"23,40,44"
28596,"139,148,241"
26786,"201,76,160"
23153,"23,74,38"
28389,"215,214,0"
6154,"40,76,25"
1613,"74,135,251"
5915,"169,199,170"
327,"0,265,219"
27528,"30,85,21"
3961,"208,223,54"
28775,"11,10,23"
28192,"10,23,24"
10858,"28,4,19"
22544,"3,15,21"
18662,"23,49,38"
5258,"287,200,3"
7419,"31,245,220"
23396,"211,0,223"
20160,"10,23,24"
8457,"8,9,213"
9645,"3,21,56"
23036,"89,38,23"
6414,"10,43,44"
701,"26,89,90"
16549,"21,34,187"
3916,"323,231,3"
20501,"21,28,33"
11003,"38,74,405"
3092,"271,270,0"
5061,"10,44,23"
17147,"3,30,21"
1223,"21,57,56"
2471,"0,271,254"
146,"15,16,200"
4685,"23,24,38"
29460,"23,10,44"
11348,"17,21,56"
11912,0
14077,"30,31,28"
15715,"23,49,38"
24004,"169,199,250"
8781,"23,30,8"
5788,"21,52,87"
17363,"74,23,38"
195,"123,111,219"
7346,"21,52,30"
4367,"17,51,18"
25284,"169,199,14"
15532,"75,93,23"
13692,"411,499,300"
26686,"169,170,437"
20475,"169,240,273"
6453,"10,11,24"
3969,"131,226,76"
19491,"169,299,10"
12081,"288,304,380"
17530,"13,28,150"
12712,"30,50,54"
6420,"18,21,56"
2190,"111,3,28"
14553,"40,76,131"
16697,"51,68,200"
1133,"128,286,201"
3093,"200,169,170"
29366,"131,226,76"
10504,"26,39,38"
15492,"27,89,26"
16417,"26,27,219"
4452,"9,8,235"
2633,"21,11,51"
20823,"21,11,50"
16554,"128,76,130"
15599,"270,271,179"
1978,"135,138,31"
10166,"21,28,30"
15273,"135,319,31"
10054,"169,276,39"
21571,"4,188,188"
29350,"111,33,22"
872,"28,10,12"
24795,"160,40,41"
3439,"38,25,23"
25756,"26,89,23"
2745,"127,288,209"
15995,"74,39,108"
16261,"43,23,10"
6102,"17,18,10"
28298,"169,169,169"
18729,"3,21,200"
6557,"160,139,248"
28397,"200,38,156"
10622,"8,206,370"
7533,"32,31,220"
24476,"7,20,28"
14566,"169,198,277"
17214,"4,3,174"
17316,"10,220,21"
20879,"220,10,23"
23321,"30,85,111"
19308,"24,10,43"
29170,"0,26,40"
18196,"169,43,39"
7034,"10,11,44"
12647,"118,38,23"
27338,"23,38,115"
4166,"8,9,0"
17265,"0,8,9"
22099,"130,128,76"
8610,"5,6,28"
17024,"10,44,54"
10781,"10,11,44"
9556,"51,23,31"
27731,"21,30,112"
11383,"395,253,67"
5298,"169,511,28"
23075,"44,23,10"
19075,"131,226,40"
13091,"130,76,128"
2671,"270,265,271"
7218,"10,44,23"
28908,"3,21,112"
10620,"38,39,47"
4245,"139,141,0"
4619,"10,43,54"
23012,"13,220,28"
11853,"21,33,11"
1584,"49,23,10"
27464,"10,43,23"
9064,"3,15,28"
1885,"34,3,18"
10898,"64,10,23"
6578,"26,23,38"
4837,"213,482,455"
4928,"4,28,19"
8327,"43,23,38"
26129,"169,39,63"
24119,"0,271,8"
710,"32,31,30"
8276,"18,21,20"
12202,"76,40,201"
